standard,reference_no,host_country,project_title,status,registration_date_raw,registration_date,host_country_participant,japanese_participant,methodology_no_raw,methodology_no,methodology_title_raw,methodology_title,methodology_url,source_url
JCM,ID005,Indonesia,"Energy Saving for Air-Conditioning at Textile Factory by Introducing High-efficiency Centrifugal Chiller in Batang, Central Java (Phase 2)",Project registered,24 Mar 16,2016-03-24,PT. Primatexco Indonesia,"Nippon Koei Co., Ltd. (Focal Point), Ebara Refrigeration Equipment & Systems Co., Ltd.","<a href=""/jc/methodologies/id-am002-ver2-0/"">ID_AM002 Ver2.0</a>",ID_AM002 Ver2.0,"<a href=""/jc/methodologies/id-am002-ver2-0/"">ID_AM002 Ver2.0</a>",ID_AM002 Ver2.0,https://www.jcm.go.jp/jc/methodologies/id-am002-ver2-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,ID004,Indonesia,Energy Saving for Air-Conditioning at Textile Factory by Introducing High-efficiency Centrifugal Chiller in Karawang West Java,Project registered,24 Mar 16,2016-03-24,PT. Nikawa Textile Industry,"Nippon Koei Co., Ltd. (Focal Point), Ebara Refrigeration Equipment & Systems Co., Ltd.","<a href=""/jc/methodologies/id-am002-ver2-0/"">ID_AM002 Ver2.0</a>",ID_AM002 Ver2.0,"<a href=""/jc/methodologies/id-am002-ver2-0/"">ID_AM002 Ver2.0</a>",ID_AM002 Ver2.0,https://www.jcm.go.jp/jc/methodologies/id-am002-ver2-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,ID003,Indonesia,Project of Introducing High Efficiency Refrigerator to a Frozen Food Processing Plant in Indonesia,Project registered,29 Mar 15,2015-03-29,"PT. Adib Global Food Supplies, PT. Mayekawa Indonesia","MAYEKAWA MFG. CO., LTD.","<a href=""/jc/methodologies/id-am003-ver1-0/"">ID_AM003 Ver1.0</a>",ID_AM003 Ver1.0,"<a href=""/jc/methodologies/id-am003-ver1-0/"">ID_AM003 Ver1.0</a>",ID_AM003 Ver1.0,https://www.jcm.go.jp/jc/methodologies/id-am003-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,ID002,Indonesia,Project of Introducing High Efficiency Refrigerator to a Food Industry Cold Storage in Indonesia,Project registered,29 Mar 15,2015-03-29,"PT. Adib Global Food Supplies, PT. Mayekawa Indonesia","MAYEKAWA MFG. CO., LTD.","<a href=""/jc/methodologies/id-am003-ver1-0/"">ID_AM003 Ver1.0</a>",ID_AM003 Ver1.0,"<a href=""/jc/methodologies/id-am003-ver1-0/"">ID_AM003 Ver1.0</a>",ID_AM003 Ver1.0,https://www.jcm.go.jp/jc/methodologies/id-am003-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,ID001,Indonesia,Energy Saving for Air-Conditioning and Process Cooling by Introducing High-efficiency Centrifugal Chiller,Project registered,31 Oct 14,2014-10-31,PT. Primatexco Indonesia,"Nippon Koei Co., Ltd. (Focal Point), Ebara Refrigeration Equipment & Systems Co., Ltd.","<a href=""/jc/methodologies/id-am002-ver1-0/"">ID_AM002 Ver1.0</a>",ID_AM002 Ver1.0,"<a href=""/jc/methodologies/id-am002-ver1-0/"">ID_AM002 Ver1.0</a>",ID_AM002 Ver1.0,https://www.jcm.go.jp/jc/methodologies/id-am002-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,CR002,Costa Rica,Introduction of High Efficiency Centrifugal Chiller and Electric Heat Pump Type Water Heater in Hotel,Validation,,,MGM Sustainable Energy Limitada; Hotelera Bonanza S.A.,"NTT DATA INSTITUTE OF MANAGEMENT CONSULTING, Inc","<li>
<a href=""/jc/methodologies/cr-am002-ver1-0/"">CR_AM002 Ver1.0</a>
</li>
<li>
<a href=""/jc/methodologies/cr-am003-ver1-0/"">CR_AM003 Ver1.0</a>
</li>",CR_AM002 Ver1.0 CR_AM003 Ver1.0,"<li>
<a href=""/jc/methodologies/cr-am002-ver1-0/"">CR_AM002 Ver1.0</a>
</li>
<li>
<a href=""/jc/methodologies/cr-am003-ver1-0/"">CR_AM003 Ver1.0</a>
</li>",CR_AM002 Ver1.0 CR_AM003 Ver1.0,https://www.jcm.go.jp/jc/methodologies/cr-am002-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,CR001,Costa Rica,5MW Solar Power Project in Belen,Project registered,23 Feb 20,2020-02-23,Generacion Solar Fotovoltaica Belen Sociedad Anonima Coope Guanacaste,"NTT DATA INSTITUTE OF MANAGEMENT CONSULTING, Inc","<a href=""/jc/methodologies/cr-am001-ver1-0/"">CR_AM001 Ver1.0</a>",CR_AM001 Ver1.0,"<a href=""/jc/methodologies/cr-am001-ver1-0/"">CR_AM001 Ver1.0</a>",CR_AM001 Ver1.0,https://www.jcm.go.jp/jc/methodologies/cr-am001-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,CL008,Chile,3.4MW Rice Husk Power Generation Project in Maule,Validation,,,La Gloria S.A.,Asian Gateway Corporation,"<a href=""/jc/methodologies/cl-am003-ver1-0/"">CL_AM003 Ver1.0</a>",CL_AM003 Ver1.0,"<a href=""/jc/methodologies/cl-am003-ver1-0/"">CL_AM003 Ver1.0</a>",CL_AM003 Ver1.0,https://www.jcm.go.jp/jc/methodologies/cl-am003-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,CL007,Chile,"Energy Supply Project by 2.0MW Rooftop Solar Power System to Industrial Plastic Plant in Renca, Santiago Metropolitan Region",Validation,,,Solarity SpA,Asian Gateway Corporation,"<a href=""/jc/methodologies/cl-am001-ver2-0/"">CL_AM001 Ver2.0</a>",CL_AM001 Ver2.0,"<a href=""/jc/methodologies/cl-am001-ver2-0/"">CL_AM001 Ver2.0</a>",CL_AM001 Ver2.0,https://www.jcm.go.jp/jc/methodologies/cl-am001-ver2-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,CL006,Chile,3MW Solar Power Project Utilizing Farmland in Maule Region,Validation,,,Land and Sea SpA; Farmdo Energy Chile SpA,"FARMLAND Co., Ltd.; Farmdo Co., Ltd.","<a href=""/jc/methodologies/cl-am001-ver2-0/"">CL_AM001 Ver2.0</a>",CL_AM001 Ver2.0,"<a href=""/jc/methodologies/cl-am001-ver2-0/"">CL_AM001 Ver2.0</a>",CL_AM001 Ver2.0,https://www.jcm.go.jp/jc/methodologies/cl-am001-ver2-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,CL005,Chile,"9MW Solar Power Project in San Antonio, Valparaiso Region",Validation,,,Eurus Energy Chile SpA; Rimini Solar SpA,Eurus Energy Holdings Corporation,"<a href=""/jc/methodologies/cl-am001-ver2-0/"">CL_AM001 Ver2.0</a>",CL_AM001 Ver2.0,"<a href=""/jc/methodologies/cl-am001-ver2-0/"">CL_AM001 Ver2.0</a>",CL_AM001 Ver2.0,https://www.jcm.go.jp/jc/methodologies/cl-am001-ver2-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,CL004,Chile,"9MW Solar Power Project in Yungay, Biobio Region",Validation,,,Eurus Energy Chile SpA; Solar Ti Quince SpA,Eurus Energy Holdings Corporation,"<a href=""/jc/methodologies/cl-am001-ver2-0/"">CL_AM001 Ver2.0</a>",CL_AM001 Ver2.0,"<a href=""/jc/methodologies/cl-am001-ver2-0/"">CL_AM001 Ver2.0</a>",CL_AM001 Ver2.0,https://www.jcm.go.jp/jc/methodologies/cl-am001-ver2-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,CL003,Chile,3MW Solar Power Project Utilizing Farmland in Valparaiso Region,Project registered,17 Aug 24,2024-08-17,Land and Sea SpA; Farmdo Energy Chile SpA,"FARMLAND Co., Ltd.","<a href=""/jc/methodologies/cl-am001-ver2-0/"">CL_AM001 Ver2.0</a>",CL_AM001 Ver2.0,"<a href=""/jc/methodologies/cl-am001-ver2-0/"">CL_AM001 Ver2.0</a>",CL_AM001 Ver2.0,https://www.jcm.go.jp/jc/methodologies/cl-am001-ver2-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,CL002,Chile,"3MW Solar Power Project in Chillan, Nuble Region",Project registered,08 Aug 22,2022-08-08,Land and Sea SpA; Farmdo Energy Chile SpA,"FARMLAND Co., Ltd.","<a href=""/jc/methodologies/cl-am001-ver2-0/"">CL_AM001 Ver2.0</a>",CL_AM001 Ver2.0,"<a href=""/jc/methodologies/cl-am001-ver2-0/"">CL_AM001 Ver2.0</a>",CL_AM001 Ver2.0,https://www.jcm.go.jp/jc/methodologies/cl-am001-ver2-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,CL001,Chile,Introduction of 1MW Rooftop Solar Power Systems to University,Project registered,08 Oct 19,2019-10-08,MGM Innova Capital Chile SpA; Universidad TÃ©cnica Federico Santa MarÃ­a,"Waseda Environmental Institute; NTT DATA INSTITUTE OF MANAGEMENT CONSULTING,Inc.","<a href=""/jc/methodologies/cl-am001-ver1-0/"">CL_AM001 Ver1.0</a>",CL_AM001 Ver1.0,"<a href=""/jc/methodologies/cl-am001-ver1-0/"">CL_AM001 Ver1.0</a>",CL_AM001 Ver1.0,https://www.jcm.go.jp/jc/methodologies/cl-am001-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,BD004,Bangladesh,Introduction of PV-diesel Hybrid System at Fastening Manufacturing Plant,Project registered,04 Apr 19,2019-04-04,YKK Bangladesh Pte Ltd,YKK Corporation,"<a href=""/jc/methodologies/bd-am002-ver1-0/"">BD_AM002 Ver1.0</a>",BD_AM002 Ver1.0,"<a href=""/jc/methodologies/bd-am002-ver1-0/"">BD_AM002 Ver1.0</a>",BD_AM002 Ver1.0,https://www.jcm.go.jp/jc/methodologies/bd-am002-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,BD003,Bangladesh,Installation of High Efficiency Loom at Weaving Factory,Project registered,04 Apr 19,2019-04-04,Hamid Fabrics Limited,Toyota Tsusho Corporation,"<a href=""/jc/methodologies/bd-am003-ver1-0/"">BD_AM003 Ver1.0</a>",BD_AM003 Ver1.0,"<a href=""/jc/methodologies/bd-am003-ver1-0/"">BD_AM003 Ver1.0</a>",BD_AM003 Ver1.0,https://www.jcm.go.jp/jc/methodologies/bd-am003-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,BD002,Bangladesh,Installation of High Efficiency Centrifugal Chiller for Air Conditioning System in Clothing Tag Factory in Bangladesh,Project registered,10 Jan 18,2018-01-10,Next Accessories Ltd.,"Nippon Koei Co., Ltd. (Focal Point); Ebara Refrigeration Equipment & Systems Co., Ltd.","<a href=""/jc/methodologies/bd-am001-ver1-0/"">BD_AM001 Ver1.0</a>",BD_AM001 Ver1.0,"<a href=""/jc/methodologies/bd-am001-ver1-0/"">BD_AM001 Ver1.0</a>",BD_AM001 Ver1.0,https://www.jcm.go.jp/jc/methodologies/bd-am001-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,BD001,Bangladesh,Energy Saving for Air Conditioning & Facility Cooling by High Efficiency Chiller (Dhaka Suburbs),Validation,,,City Sugar Industries Limited (Focal Point (2) ),"Nippon Koei Co., Ltd. (Focal Point (1) ); Ebara Refrigeration Equipment & Systems Co., Ltd.","<a href=""/jc/methodologies/bd-am001-ver2-0/"">BD_AM001 Ver2.0</a>",BD_AM001 Ver2.0,"<a href=""/jc/methodologies/bd-am001-ver2-0/"">BD_AM001 Ver2.0</a>",BD_AM001 Ver2.0,https://www.jcm.go.jp/jc/methodologies/bd-am001-ver2-0/,https://www.jcm.go.jp/jc/mn-projects/
