standard,reference_no,host_country,project_title,status,registration_date_raw,registration_date,host_country_participant,japanese_participant,methodology_no_raw,methodology_no,methodology_title_raw,methodology_title,methodology_url,source_url
JCM,MN007,Mongolia,Installation of 5MW solar PV system and 3.6MWh battery energy storage system in Zavkhan Province,Validation,,,Ministry of Energy; Bogd River Hydroelectric Power Plant LLC,N/A,"<a href=""/jc/methodologies/mn-am004-ver1-0/"">MN_AM004 Ver1.0</a>",MN_AM004 Ver1.0,"<a href=""/jc/methodologies/mn-am004-ver1-0/"">MN_AM004 Ver1.0</a>",MN_AM004 Ver1.0,https://www.jcm.go.jp/jc/methodologies/mn-am004-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,MN006,Mongolia,Introduction of 15MW Solar Power System near New Airport,Project registered,02 Jun 23,2023-06-02,Tenuun Gerel Construction LLC,Sharp Energy Solutions Corporation,"<a href=""/jc/methodologies/mn-am003-ver2-0/"">MN_AM003 Ver2.0</a>",MN_AM003 Ver2.0,"<a href=""/jc/methodologies/mn-am003-ver2-0/"">MN_AM003 Ver2.0</a>",MN_AM003 Ver2.0,https://www.jcm.go.jp/jc/methodologies/mn-am003-ver2-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,MN005,Mongolia,A HIGH EFFICIENCY AND LOW LOSS POWER TRANSMISSION AND DISTRIBUTION SYSTEM IN MONGOLIA,Project registered,16 Nov 17,2017-11-16,NATIONAL POWER TRANSMISSION GRID State Owned Stock Company (NPTG),"Hitachi, Ltd.","<a href=""/jc/methodologies/mn-am001-ver1-0/"">MN_AM001 Ver1.0</a>",MN_AM001 Ver1.0,"<a href=""/jc/methodologies/mn-am001-ver1-0/"">MN_AM001 Ver1.0</a>",MN_AM001 Ver1.0,https://www.jcm.go.jp/jc/methodologies/mn-am001-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,MN004,Mongolia,10MW Solar Power Project in Darkhan City,Project registered,26 May 17,2017-05-26,Solar Power International LLC,Sharp Energy Solutions Corporation (formerly Sharp Corporation),"<a href=""/jc/methodologies/mn-am003-ver2-0/"">MN_AM003 Ver2.0</a>",MN_AM003 Ver2.0,"<a href=""/jc/methodologies/mn-am003-ver2-0/"">MN_AM003 Ver2.0</a>",MN_AM003 Ver2.0,https://www.jcm.go.jp/jc/methodologies/mn-am003-ver2-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,MN003,Mongolia,Installation of 12.7 MW Solar Power Plant for Power Supply In Ulaanbaatar Suburb,Project registered,26 May 17,2017-05-26,"Bridge LLC, Everyday Farm LLC",FARMDO CORPORATION,"<a href=""/jc/methodologies/mn-am003-ver2-0/"">MN_AM003 Ver2.0</a>",MN_AM003 Ver2.0,"<a href=""/jc/methodologies/mn-am003-ver2-0/"">MN_AM003 Ver2.0</a>",MN_AM003 Ver2.0,https://www.jcm.go.jp/jc/methodologies/mn-am003-ver2-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,MN002,Mongolia,Centralization of heat supply system by installation of high-efficiency Heat Only Boilers in Bornuur soum Project,Project registered,30 Jun 15,2015-06-30,"ANU-SERVICE CO.,LTD","SUURI-KEIKAKU CO.,LTD.","<a href=""/jc/methodologies/mn-am002-ver1-0/"">MN_AM002 Ver1.0</a>",MN_AM002 Ver1.0,"<a href=""/jc/methodologies/mn-am002-ver1-0/"">MN_AM002 Ver1.0</a>",MN_AM002 Ver1.0,https://www.jcm.go.jp/jc/methodologies/mn-am002-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,MN001,Mongolia,Installation of high-efficiency Heat Only Boilers in 118th School of Ulaanbaatar City Project,Project registered,30 Jun 15,2015-06-30,"ANU-SERVICE CO.,LTD.","SUURI-KEIKAKU CO.,LTD.","<a href=""/jc/methodologies/mn-am002-ver1-0/"">MN_AM002 Ver1.0</a>",MN_AM002 Ver1.0,"<a href=""/jc/methodologies/mn-am002-ver1-0/"">MN_AM002 Ver1.0</a>",MN_AM002 Ver1.0,https://www.jcm.go.jp/jc/methodologies/mn-am002-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
