source_id,source_name,source_project_id,project_name,issuance_date,issued_quantity,credit_unit,methodology_name,durability,country,source_url
puro_earth,Puro Earth,664457,Bio-Logical Mt Kenya Biochar Project,28 May 2026,597.0,CORC,"Biochar, 2022",100+ years,Kenya,https://registry.puro.earth/issuances
puro_earth,Puro Earth,470748,"ReGenerate Livermore Falls, LLC",26 May 2026,2901.0,CORC,"Biochar, 2022",100+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,353054,Gevo North Dakota,21 May 2026,61822.0,CORC,Geologically stored carbon,1000+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,973037,Charles Ingram Lumber Company,15 May 2026,1110.0,CORC,"Biochar, 2022",100+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,625222,Leeds Production Facility,08 May 2026,2893.0,CORC,Carbonated Materials,1000+ years,United Kingdom,https://registry.puro.earth/issuances
puro_earth,Puro Earth,625222,Leeds Production Facility,08 May 2026,717.0,CORC,Carbonated Materials,1000+ years,United Kingdom,https://registry.puro.earth/issuances
puro_earth,Puro Earth,292788,"Exomad Green, Riberalta",07 May 2026,10068.0,CORC,"Biochar, 2022",100+ years,Bolivia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,432524,"Exomad Green, Concepción",30 Apr 2026,10163.0,CORC,"Biochar, 2022",100+ years,Bolivia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,517437,Wakefield Biochar Facility 4,30 Apr 2026,2506.0,CORC,"Biochar, 2022",100+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,435899,East Dundee Biochar Facility,29 Apr 2026,69.0,CORC,"Biochar, 2022",100+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,756292,Avonmouth Production Facility,24 Apr 2026,1575.0,CORC,Carbonated Materials,1000+ years,United Kingdom,https://registry.puro.earth/issuances
puro_earth,Puro Earth,816220,Truecoco Ghana Ltd,22 Apr 2026,2260.0,CORC,"Biochar, 2022",100+ years,Ghana,https://registry.puro.earth/issuances
puro_earth,Puro Earth,554214,Jiaxing Tongao Biochar Plant,22 Apr 2026,918.0,CORC,"Biochar, 2022",100+ years,China,https://registry.puro.earth/issuances
puro_earth,Puro Earth,145827,Carbonity Biochar Production Canada,17 Apr 2026,88.0,CORC,"Biochar, 2022",100+ years,Canada,https://registry.puro.earth/issuances
puro_earth,Puro Earth,969347,R3,13 Apr 2026,4.0,CORC,"Biochar, 2022",100+ years,Finland,https://registry.puro.earth/issuances
puro_earth,Puro Earth,292788,"Exomad Green, Riberalta",01 Apr 2026,10835.0,CORC,"Biochar, 2022",100+ years,Bolivia,https://registry.puro.earth/issuances
