source_id,source_name,methodology_name,methodology_code,source_project_id,project_name,country,project_url
gold_standard,Gold Standard,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,,23235,Agroforestry project in India,India,https://registry.goldstandard.org/projects/details/23235
gold_standard,Gold Standard,AMS-II.E. Energy efficiency and fuel switching measures for buildings,,23234,Greening by Insulating for low income housing in NY – VPA 01,United States,https://registry.goldstandard.org/projects/details/23234
gold_standard,Gold Standard,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,,13164,Ecological landscape resilience in Sumatra´s highlands,Indonesia,https://registry.goldstandard.org/projects/details/13164
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,23225,GS11638 GS11640 RVPA-7 SPOUTS Water Purifier Programme in Africa- WPS in Uganda by AERA- VPA 17,Uganda,https://registry.goldstandard.org/projects/details/23225
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,23223,GS11638 GS11640 RVPA-6 SPOUTS Water Purifier Programme in Africa- WPS in Uganda by AERA- VPA 16,Uganda,https://registry.goldstandard.org/projects/details/23223
gold_standard,Gold Standard,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,,23222,Improving Livelihoods of Farmer Communities through Afforestation in East Uttar Pradesh,India,https://registry.goldstandard.org/projects/details/23222
gold_standard,Gold Standard,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,,23221,Improving Livelihoods of Farmer Communities through Afforestation in Uttar Pradesh,India,https://registry.goldstandard.org/projects/details/23221
gold_standard,Gold Standard,GS Water Access and WASH Methodology v1.,,12676,VPA-1 GivePower Kenya Solar Water Farms,Kenya,https://registry.goldstandard.org/projects/details/12676
gold_standard,Gold Standard,GS Water Access and WASH Methodology v1.,,12674,GivePower East Africa Solar Water Farms,Kenya,https://registry.goldstandard.org/projects/details/12674
gold_standard,Gold Standard,AMS-I.B. Mechanical energy for the user with or without electrical energy,,23217,Metafin-Off Grid Solar Milling Plants for Household Programme,India,https://registry.goldstandard.org/projects/details/23217
gold_standard,Gold Standard,Methane Emission Reduction By Adjusted Water Management Practice In Rice Cultivation,,13127,VPA 6: Pro Climate Paddy Cultivation For Reducing Methane Emission and Saving Water,India,https://registry.goldstandard.org/projects/details/13127
gold_standard,Gold Standard,Methane Emission Reduction By Adjusted Water Management Practice In Rice Cultivation,,13126,VPA 5: Pro Climate Paddy Cultivation For Reducing Methane Emission and Saving Water,India,https://registry.goldstandard.org/projects/details/13126
gold_standard,Gold Standard,Methane Emission Reduction By Adjusted Water Management Practice In Rice Cultivation,,13125,VPA 4: Pro Climate Paddy Cultivation For Reducing Methane Emission and Saving Water,India,https://registry.goldstandard.org/projects/details/13125
gold_standard,Gold Standard,Methane Emission Reduction By Adjusted Water Management Practice In Rice Cultivation,,13124,VPA 3: Pro Climate Paddy Cultivation For Reducing Methane Emission and Saving Water,India,https://registry.goldstandard.org/projects/details/13124
gold_standard,Gold Standard,Methane Emission Reduction By Adjusted Water Management Practice In Rice Cultivation,,13123,VPA2: Pro Climate Paddy Cultivation For Reducing Methane Emission and Saving Water,India,https://registry.goldstandard.org/projects/details/13123
gold_standard,Gold Standard,Methane Emission Reduction By Adjusted Water Management Practice In Rice Cultivation,,13122,VPA 1: Pro Climate Paddy Cultivation For Reducing Methane Emission and Saving Water,India,https://registry.goldstandard.org/projects/details/13122
gold_standard,Gold Standard,Methane Emission Reduction By Adjusted Water Management Practice In Rice Cultivation,,13121,Pro Climate Paddy Cultivation For Reducing Methane Emission and Saving Water,India,https://registry.goldstandard.org/projects/details/13121
gold_standard,Gold Standard,Not provided,,23215,GS23213 VPA-2 Ibu Bakau: Community-powered Mangrove Afforestation in Indonesia 2,Indonesia,https://registry.goldstandard.org/projects/details/23215
