source_id,source_name,source_project_id,project_name,country,status,project_type,methodology_name,developer_or_supplier,estimated_annual_credits,project_url
gold_standard,Gold Standard,1046,Arusha Improved Cookstoves Project,Tanzania United Republic of,Gold Standard Certified Design,Energy Efficiency - Domestic,GS TPDDTEC v 1.,CO2balance UK ltd,75000,https://registry.goldstandard.org/projects/details/1046
gold_standard,Gold Standard,1045,Tanga Improved Cook Stove Project,Tanzania United Republic of,Gold Standard Certified Design,Energy Efficiency - Domestic,GS TPDDTEC v 1.,CO2balance UK ltd,75000,https://registry.goldstandard.org/projects/details/1045
gold_standard,Gold Standard,1044,GS VER UpEnergy's Uganda Biomass Cookstove Project,Uganda,Gold Standard Certified Project,Energy Efficiency - Domestic,GS TPDDTEC v 1.,UpEnergy Group,119845,https://registry.goldstandard.org/projects/details/1044
gold_standard,Gold Standard,1042,Ceará Renewable Energy Bundled Project,Brazil,Gold Standard Certified Project,"Biomass, or Liquid Biofuel - Heat",Not provided,Sustainable Carbon - Projetos Ambientais LTDA,36173,https://registry.goldstandard.org/projects/details/1042
gold_standard,Gold Standard,1041,Ferrosilicon waste heat power generation project,China,Gold Standard Certified Project,Energy Efficiency - Industrial,ACM0012 Waste energy recovery,Swiss Carbon Assets Ltd.,145368,https://registry.goldstandard.org/projects/details/1041
gold_standard,Gold Standard,1040,Highveld Air Quality - Standerton project,South Africa,Gold Standard Certified Project,Energy Efficiency - Domestic,GS Alternative Ignition Coal Fires v1.,Nova Institute,4000,https://registry.goldstandard.org/projects/details/1040
gold_standard,Gold Standard,1039,Maluti Air Quality Project - West,South Africa,Gold Standard Certified Project,Energy Efficiency - Domestic,GS Alternative Ignition Coal Fires v1.,Nova Institute,4000,https://registry.goldstandard.org/projects/details/1039
gold_standard,Gold Standard,1038,Highveld Air Quality - Maluti East,South Africa,Gold Standard Certified Project,Energy Efficiency - Domestic,AMS-II.C. Demand-side energy efficiency activities for specific technologies,Nova Institute,4000,https://registry.goldstandard.org/projects/details/1038
gold_standard,Gold Standard,1036,8.40 MW GEMCÝLER HYDRO POWER PROJECT,Turkey,Listed,"Small, Low - Impact Hydro",AMS-I.D. Grid connected renewable electricity generation,BorgaCarbon Consultancy Ltd.,28343,https://registry.goldstandard.org/projects/details/1036
gold_standard,Gold Standard,1035,Şenköy Wind Power Plant,Turkey,Listed,Wind,ACM0002 Grid-connected electricity generation from renewable sources,Belen Elektrik Üretim A.Ş.,55060,https://registry.goldstandard.org/projects/details/1035
gold_standard,Gold Standard,1034,Dagpazari Wind Power Plant,Turkey,Gold Standard Certified Project,Wind,,Enerjisa Enerji Uretim A.S.,66814,https://registry.goldstandard.org/projects/details/1034
gold_standard,Gold Standard,1033,Xuyong household biogas Gold Standard VER Project,China,Gold Standard Certified Project,Biogas - Heat,GS Baseline and Monitoring Methodology Biodigester v1.,Chengdu Oasis Science & Technology Co Ltd,4499,https://registry.goldstandard.org/projects/details/1033
