source_id,source_name,document_id,document_title,document_category,document_type,file_format,document_url,source_url,related_entity,notes
jcm_mn,JCM Mongolia-Japan,jcm_mn:16:Percentage of Credit Allocation Form,Percentage of Credit Allocation Form,Project Cycle,Forms,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Crd_Allc_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:17:Percentage of Credit Allocation Form,Percentage of Credit Allocation Form,Project Cycle,Forms,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Crd_Allc_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:18:Post-Registration Change Request Form,Post-Registration Change Request Form,Project Cycle,Forms,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_PRC_Req_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:19:Post-Registration Change Request Form,Post-Registration Change Request Form,Project Cycle,Forms,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_PRC_Req_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:20:Project Design Document Form,Project Design Document Form,Project Cycle,Forms,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_PDD_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:21:Project Design Document Form,Project Design Document Form,Project Cycle,Forms,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_PDD_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:22:Project Idea Note,Project Idea Note,Project Cycle,Forms,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_PIN_ver06.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:23:Project Idea Note,Project Idea Note,Project Cycle,Forms,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_PIN_ver06.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:24:Project Implementation Report Form,Project Implementation Report Form,Project Cycle,Forms,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Imp_Rep_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:25:Project Implementation Report Form,Project Implementation Report Form,Project Cycle,Forms,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Imp_Rep_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
