source_id,source_name,methodology_id,methodology_code,methodology_name,status,version,approval_date,sectoral_scope,project_count,source_url,notes
gold_standard,Gold Standard,AMS-II.J. Demand-side activities for efficient lighting technologies,,AMS-II.J. Demand-side activities for efficient lighting technologies,,,,,1,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AMS-II.J. Demand-side activities for efficient lighting technologies ,,AMS-II.J. Demand-side activities for efficient lighting technologies ,,,,,4,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AMS-II.L Demand-side activities for efficient outdoor and street lighting technologies,,AMS-II.L Demand-side activities for efficient outdoor and street lighting technologies,,,,,1,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AMS-II.M Demand-side energy efficiency activities for installation of low-flow hot water savings devices,,AMS-II.M Demand-side energy efficiency activities for installation of low-flow hot water savings devices,,,,,2,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AMS-III.AJ. Recovery and recycling of materials from solid wastes,,AMS-III.AJ. Recovery and recycling of materials from solid wastes,,,,,4,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AMS-III.AO. Methane recovery through controlled anaerobic digestion,,AMS-III.AO. Methane recovery through controlled anaerobic digestion,,,,,1,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AMS-III.AQ. Introduction of Bio-CNG in transportation applications,,AMS-III.AQ. Introduction of Bio-CNG in transportation applications,,,,,1,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AMS-III.AR. Substituting fossil fuel based lighting with LED lighting systems,,AMS-III.AR. Substituting fossil fuel based lighting with LED lighting systems,,,,,18,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AMS-III.AS. Switch from fossil fuel to biomass in existing manufacturing facilities for non-energy applications,,AMS-III.AS. Switch from fossil fuel to biomass in existing manufacturing facilities for non-energy applications,,,,,3,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AMS-III.AV. Low greenhouse gas emitting water purification systems,,AMS-III.AV. Low greenhouse gas emitting water purification systems,,,,,12,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AMS-III.BA Recovery and recycling of materials from E-waste,,AMS-III.BA Recovery and recycling of materials from E-waste,,,,,3,,Distinct methodology labels from Gold Standard project export
