issued_date,issued_qty,project_name,supplier,methodology,durability,project_url,project_id,page_number,source_url
30 Mar 2026,11082,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,3,https://registry.puro.earth/issuances
26 Mar 2026,253,Enhanced Rock Weathering - Smallholder farmers in India,Varaha ClimateAg,"Enhanced Rock Weathering, 2022",1000+ years,https://registry.puro.earth/projects/442197,442197,3,https://registry.puro.earth/issuances
23 Mar 2026,10220,"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/292788,292788,3,https://registry.puro.earth/issuances
20 Mar 2026,1396,Farm Gai Kaisa 159,Planboo Eco AB,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/226049,226049,3,https://registry.puro.earth/issuances
13 Mar 2026,340,Foundation 1,Arukah Capital Pte Ltd,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/526866,526866,3,https://registry.puro.earth/issuances
06 Mar 2026,871,Sem-Chi Rice Products Corp. CDR Facility #1,Sem-Chi Rice Products Corp.,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/593074,593074,3,https://registry.puro.earth/issuances
05 Mar 2026,106,Guaicaramo,Sirius Regenerative Solutions,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/389138,389138,3,https://registry.puro.earth/issuances
05 Mar 2026,1015,Tierra Prieta - Parras,"Carbon Removal Solutions, Inc (dba Tierra Prieta)","Biochar, 2022",100+ years,https://registry.puro.earth/projects/705515,705515,3,https://registry.puro.earth/issuances
26 Feb 2026,11671,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,3,https://registry.puro.earth/issuances
10 Feb 2026,5068,"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/292788,292788,3,https://registry.puro.earth/issuances
06 Feb 2026,668,SCG,SCG Cement,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/133972,133972,4,https://registry.puro.earth/issuances
04 Feb 2026,850,La Veta,Wood Cache PBC,Terrestrial Storage of Biomass,100+ years,https://registry.puro.earth/projects/530211,530211,4,https://registry.puro.earth/issuances
02 Feb 2026,3714,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,4,https://registry.puro.earth/issuances
30 Jan 2026,1768,Four Bordet,Carbonapp,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/619736,619736,4,https://registry.puro.earth/issuances
30 Jan 2026,82,Mammoth,Climeworks AG,"Geologically stored carbon, 2024",1000+ years,https://registry.puro.earth/projects/417791,417791,4,https://registry.puro.earth/issuances
30 Jan 2026,205,Orca plant,Climeworks AG,Geologically stored carbon,1000+ years,https://registry.puro.earth/projects/631817,631817,4,https://registry.puro.earth/issuances
28 Jan 2026,4900,"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/292788,292788,4,https://registry.puro.earth/issuances
23 Jan 2026,856,Carbofex Nokia 1,Carbofex Oy,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/507468,507468,4,https://registry.puro.earth/issuances
23 Jan 2026,1548,Truecoco Ghana Ltd,Truecoco Ghana Ltd,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/816220,816220,4,https://registry.puro.earth/issuances
23 Jan 2026,6576,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,4,https://registry.puro.earth/issuances
22 Jan 2026,4277,Mast Wood Preserve MT1,Mast Reforestation,Terrestrial Storage of Biomass,100+ years,https://registry.puro.earth/projects/272514,272514,5,https://registry.puro.earth/issuances
31 Dec 2025,125,Karbonetiq Contrecoeur,Karbonetiq Inc,Carbonated Materials,1000+ years,https://registry.puro.earth/projects/832026,832026,5,https://registry.puro.earth/issuances
31 Dec 2025,104,Walsenburg Facility,Wood Cache PBC,Terrestrial Storage of Biomass,100+ years,https://registry.puro.earth/projects/452184,452184,5,https://registry.puro.earth/issuances
30 Dec 2025,361,Carbon Hill,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/712033,712033,5,https://registry.puro.earth/issuances
30 Dec 2025,845,OBIO Rudshøgda,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/727586,727586,5,https://registry.puro.earth/issuances
30 Dec 2025,7744,"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/292788,292788,5,https://registry.puro.earth/issuances
29 Dec 2025,12467,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,5,https://registry.puro.earth/issuances
19 Dec 2025,1564,NetZero-002-Lajinha,NetZero,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/141608,141608,5,https://registry.puro.earth/issuances
19 Dec 2025,462,NetZero-003-Brejetuba,NetZero,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/566645,566645,5,https://registry.puro.earth/issuances
19 Dec 2025,4714,Avonmouth Production Facility,O.C.O Technology Limited,Carbonated Materials,1000+ years,https://registry.puro.earth/projects/756292,756292,5,https://registry.puro.earth/issuances
19 Dec 2025,2135,Leeds Production Facility,O.C.O Technology Limited,Carbonated Materials,1000+ years,https://registry.puro.earth/projects/625222,625222,6,https://registry.puro.earth/issuances
19 Dec 2025,2723,Leeds Production Facility,O.C.O Technology Limited,Carbonated Materials,1000+ years,https://registry.puro.earth/projects/625222,625222,6,https://registry.puro.earth/issuances
19 Dec 2025,142,Fasera Biochar Plant 1,Fasera Holdings Pty Ltd,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/607941,607941,6,https://registry.puro.earth/issuances
19 Dec 2025,768,Applied Carbon – Terra,Applied Carbon Inc.,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/686528,686528,6,https://registry.puro.earth/issuances
19 Dec 2025,29476,Gevo North Dakota,Net-Zero Richardton LLC,Geologically stored carbon,1000+ years,https://registry.puro.earth/projects/353054,353054,6,https://registry.puro.earth/issuances
19 Dec 2025,9408,"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/292788,292788,6,https://registry.puro.earth/issuances
17 Dec 2025,2567,Wakefield Biochar Facility 2,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/244045,244045,6,https://registry.puro.earth/issuances
17 Dec 2025,752,Wakefield Biochar Facility 3,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/939902,939902,6,https://registry.puro.earth/issuances
17 Dec 2025,915,Wakefield Biochar Facility 4,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/517437,517437,6,https://registry.puro.earth/issuances
15 Dec 2025,799,Carbonsate Project Namibia,Carbonsate GmbH,Terrestrial Storage of Biomass,100+ years,https://registry.puro.earth/projects/583695,583695,6,https://registry.puro.earth/issuances
15 Dec 2025,3144,Farm Gai Kaisa 159,Planboo Eco AB,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/226049,226049,7,https://registry.puro.earth/issuances
15 Dec 2025,1583,Fasera TSB Facility 1,Fasera Holdings Pty Ltd,Terrestrial Storage of Biomass,100+ years,https://registry.puro.earth/projects/477900,477900,7,https://registry.puro.earth/issuances
12 Dec 2025,16527,Joanna,ACT Commodities Inc.,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/320449,320449,7,https://registry.puro.earth/issuances
11 Dec 2025,942,Truecoco Ghana Ltd,Truecoco Ghana Ltd,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/816220,816220,7,https://registry.puro.earth/issuances
10 Dec 2025,4026,"Freres Lumber Co., Inc.",ACT Commodities Inc.,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/133206,133206,7,https://registry.puro.earth/issuances
09 Dec 2025,1416,Brodie Biomass,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/680422,680422,7,https://registry.puro.earth/issuances
05 Dec 2025,2361,Lithos Carbon US Southeast ERW Deployment,"Lithos Carbon, Inc.","Enhanced Rock Weathering, 2022",1000+ years,https://registry.puro.earth/projects/203380,203380,7,https://registry.puro.earth/issuances
05 Dec 2025,12380,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,7,https://registry.puro.earth/issuances
05 Dec 2025,357,Orca plant,Climeworks AG,Geologically stored carbon,1000+ years,https://registry.puro.earth/projects/631817,631817,7,https://registry.puro.earth/issuances
04 Dec 2025,278,Mammoth,Climeworks AG,"Geologically stored carbon, 2024",1000+ years,https://registry.puro.earth/projects/417791,417791,7,https://registry.puro.earth/issuances
03 Dec 2025,2146,Lithos Mid-Atlantic Facility,"Lithos Carbon, Inc.","Enhanced Rock Weathering, 2022",1000+ years,https://registry.puro.earth/projects/782763,782763,8,https://registry.puro.earth/issuances
03 Dec 2025,2362,Lithos Mid-West Facility,"Lithos Carbon, Inc.","Enhanced Rock Weathering, 2022",1000+ years,https://registry.puro.earth/projects/606367,606367,8,https://registry.puro.earth/issuances
03 Dec 2025,652,Lithos Carbon US Southeast ERW Deployment,"Lithos Carbon, Inc.","Enhanced Rock Weathering, 2022",1000+ years,https://registry.puro.earth/projects/203380,203380,8,https://registry.puro.earth/issuances
02 Dec 2025,1745,"ReGenerate Livermore Falls, LLC","ReGenerate Livermore Falls, LLC","Biochar, 2022",100+ years,https://registry.puro.earth/projects/470748,470748,8,https://registry.puro.earth/issuances
01 Dec 2025,1566,Farm Gai Kaisa 159,Planboo Eco AB,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/226049,226049,8,https://registry.puro.earth/issuances
01 Dec 2025,16191,Aperam BioEnergia,Aperam Bioenergia Ltda,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/175613,175613,8,https://registry.puro.earth/issuances
28 Nov 2025,42631,Gevo North Dakota,Net-Zero Richardton LLC,Geologically stored carbon,1000+ years,https://registry.puro.earth/projects/353054,353054,8,https://registry.puro.earth/issuances
26 Nov 2025,6926,Oregon Biochar Solutions,Oregon Biochar Solutions LLC,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/753518,753518,8,https://registry.puro.earth/issuances
26 Nov 2025,8701,"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/292788,292788,8,https://registry.puro.earth/issuances
19 Nov 2025,16390,"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/292788,292788,8,https://registry.puro.earth/issuances
14 Nov 2025,165,"Carbon Cycle, 001, Rieden, DE",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/511285,511285,9,https://registry.puro.earth/issuances
14 Nov 2025,10503,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,9,https://registry.puro.earth/issuances
11 Nov 2025,3272,Wakefield Biochar Facility 4,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/517437,517437,9,https://registry.puro.earth/issuances
11 Nov 2025,770,Wakefield Biochar Facility 3,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/939902,939902,9,https://registry.puro.earth/issuances
06 Nov 2025,113,ECOERA Millennium 1 Hammenhög Skånefrö,Ecoera AB,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/706975,706975,9,https://registry.puro.earth/issuances
29 Oct 2025,9309,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,9,https://registry.puro.earth/issuances
23 Oct 2025,77,Enhanced Rock Weathering - Smallholder farmers in India,Varaha ClimateAg,"Enhanced Rock Weathering, 2022",1000+ years,https://registry.puro.earth/projects/442197,442197,9,https://registry.puro.earth/issuances
14 Oct 2025,870,Truecoco Ghana Ltd,Truecoco Ghana Ltd,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/816220,816220,9,https://registry.puro.earth/issuances
30 Sept 2025,69771,Gevo North Dakota,Net-Zero Richardton LLC,Geologically stored carbon,1000+ years,https://registry.puro.earth/projects/353054,353054,9,https://registry.puro.earth/issuances
24 Sept 2025,748,Eion - Twinterstellar 3021,Eion Corp,"Enhanced Rock Weathering, 2022",1000+ years,https://registry.puro.earth/projects/387867,387867,9,https://registry.puro.earth/issuances
15 Sept 2025,7581,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,10,https://registry.puro.earth/issuances
12 Sept 2025,137,Novocarbo Baltic Sea,Novocarbo GmbH,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/674019,674019,10,https://registry.puro.earth/issuances
10 Sept 2025,2481,Varaha Corn Seed Facility 1 : Pooling ID 301704,Varaha ClimateAg,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/301704,301704,10,https://registry.puro.earth/issuances
09 Sept 2025,4067,"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/292788,292788,10,https://registry.puro.earth/issuances
01 Sept 2025,1738,EUTHENIA ENERGY CENTER,Euthenia Energy Center S.L.,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/272454,272454,10,https://registry.puro.earth/issuances
25 Aug 2025,521,Tierra Prieta - Parras,"Carbon Removal Solutions, Inc (dba Tierra Prieta)","Biochar, 2022",100+ years,https://registry.puro.earth/projects/705515,705515,10,https://registry.puro.earth/issuances
18 Aug 2025,177,BBB - AWJ_Newton Rigg (JNR),Black Bull Biochar Ltd,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/448190,448190,10,https://registry.puro.earth/issuances
18 Aug 2025,7818,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,10,https://registry.puro.earth/issuances
12 Aug 2025,99,BBB - Ahlstrom_Radcliffe,Black Bull Biochar Ltd,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/511686,511686,10,https://registry.puro.earth/issuances
12 Aug 2025,1274,Varaha Corn Seed Facility 2 : Pooling ID 301704,Varaha ClimateAg,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/407851,407851,10,https://registry.puro.earth/issuances
08 Aug 2025,452,NetZero-003-Brejetuba,NetZero,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/566645,566645,11,https://registry.puro.earth/issuances
08 Aug 2025,873,NetZero-002-Lajinha,NetZero,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/141608,141608,11,https://registry.puro.earth/issuances
08 Aug 2025,278,Bio-Logical Mt Kenya Biochar Project,Bio-Logical,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/664457,664457,11,https://registry.puro.earth/issuances
08 Aug 2025,432,Bio-Logical Mt Kenya Biochar Project,Bio-Logical,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/664457,664457,11,https://registry.puro.earth/issuances
05 Aug 2025,4106,"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/292788,292788,11,https://registry.puro.earth/issuances
01 Aug 2025,132,Alcom-01-NuevaEcijaPhilippines,Alcom Carbon Markets Pte Ltd,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/227253,227253,11,https://registry.puro.earth/issuances
22 Jul 2025,6305,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,11,https://registry.puro.earth/issuances
21 Jul 2025,80,V-Grid (c/o South Corner Dairy),V-Grid Energy Systems,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/472483,472483,11,https://registry.puro.earth/issuances
16 Jul 2025,170,Carbonity Biochar Production Canada,First Climate (Switzerland) AG,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/145827,145827,11,https://registry.puro.earth/issuances
15 Jul 2025,8122,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,11,https://registry.puro.earth/issuances
08 Jul 2025,108,Orca plant,Climeworks AG,Geologically stored carbon,1000+ years,https://registry.puro.earth/projects/631817,631817,12,https://registry.puro.earth/issuances
01 Jul 2025,1229,"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/292788,292788,12,https://registry.puro.earth/issuances
30 Jun 2025,498,"Carbon Cycle, 001, Rieden, DE",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/511285,511285,12,https://registry.puro.earth/issuances
27 Jun 2025,1706,Leeds Production Facility,O.C.O Technology Limited,Carbonated Materials,1000+ years,https://registry.puro.earth/projects/625222,625222,12,https://registry.puro.earth/issuances
24 Jun 2025,584,EUTHENIA ENERGY CENTER,Euthenia Energy Center S.L.,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/272454,272454,12,https://registry.puro.earth/issuances
19 Jun 2025,2436,"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/292788,292788,12,https://registry.puro.earth/issuances
17 Jun 2025,13058,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,12,https://registry.puro.earth/issuances
13 Jun 2025,847,Applied Carbon – Terra,Applied Carbon Inc.,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/686528,686528,12,https://registry.puro.earth/issuances
30 May 2025,3658,"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/292788,292788,12,https://registry.puro.earth/issuances
27 May 2025,579,Carbonchip Mobile Carboniser #1,Biocare Projects Pty Ltd,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/291133,291133,12,https://registry.puro.earth/issuances
22 May 2025,458,Nuntårp Gård,BC Trading AB,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/752025,752025,13,https://registry.puro.earth/issuances
22 May 2025,586,Fasera TSB Facility 1,Fasera Holdings Pty Ltd,Terrestrial Storage of Biomass,100+ years,https://registry.puro.earth/projects/477900,477900,13,https://registry.puro.earth/issuances
29 Apr 2025,49,InterEarth Bowgada,Inter Earth Pty Ltd,Terrestrial Storage of Biomass,100+ years,https://registry.puro.earth/projects/514150,514150,13,https://registry.puro.earth/issuances
29 Apr 2025,3677,"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/292788,292788,13,https://registry.puro.earth/issuances
23 Apr 2025,330,Nian'da Biochar Facility,Eversink Limited,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/577494,577494,13,https://registry.puro.earth/issuances
22 Apr 2025,28,Mammoth,Climeworks AG,"Geologically stored carbon, 2024",1000+ years,https://registry.puro.earth/projects/417791,417791,13,https://registry.puro.earth/issuances
17 Apr 2025,187,Carbofex Nokia 1,Carbofex Oy,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/507468,507468,13,https://registry.puro.earth/issuances
17 Apr 2025,77,Orca plant,Climeworks AG,Geologically stored carbon,1000+ years,https://registry.puro.earth/projects/631817,631817,13,https://registry.puro.earth/issuances
08 Apr 2025,1757,Leeds Production Facility,O.C.O Technology Limited,Carbonated Materials,1000+ years,https://registry.puro.earth/projects/625222,625222,13,https://registry.puro.earth/issuances
01 Apr 2025,192,"Carbon Cycle, 001, Rieden, DE",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/511285,511285,13,https://registry.puro.earth/issuances
28 Mar 2025,3134,"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/292788,292788,14,https://registry.puro.earth/issuances
28 Mar 2025,3632,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,14,https://registry.puro.earth/issuances
25 Mar 2025,3351,Farm Gai Kaisa 159,Planboo Eco AB,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/226049,226049,14,https://registry.puro.earth/issuances
18 Mar 2025,13,Bussme-01-Munka-Ljungby,Bussme Biochar AB,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/299495,299495,14,https://registry.puro.earth/issuances
18 Mar 2025,205,Bussme-01-Svedala,Bussme Biochar AB,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/665890,665890,14,https://registry.puro.earth/issuances
18 Mar 2025,70,Novocarbo Baltic Sea,Novocarbo GmbH,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/674019,674019,14,https://registry.puro.earth/issuances
13 Mar 2025,84,NetZero-003-Brejetuba,NetZero,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/566645,566645,14,https://registry.puro.earth/issuances
13 Mar 2025,156,NetZero-003-Brejetuba,NetZero,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/566645,566645,14,https://registry.puro.earth/issuances
13 Mar 2025,133,NetZero-002-Lajinha,NetZero,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/141608,141608,14,https://registry.puro.earth/issuances
13 Mar 2025,453,NetZero-002-Lajinha,NetZero,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/141608,141608,14,https://registry.puro.earth/issuances
13 Mar 2025,117,USA,Himalayan Sustainable Energy Solutions Pvt. Ltd. (dba Takachar),"Biochar, 2022",100+ years,https://registry.puro.earth/projects/980845,980845,15,https://registry.puro.earth/issuances
06 Mar 2025,4001,Joanna,ACT Commodities Inc.,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/320449,320449,15,https://registry.puro.earth/issuances
04 Mar 2025,2977,"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/292788,292788,15,https://registry.puro.earth/issuances
04 Mar 2025,3209,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,15,https://registry.puro.earth/issuances
28 Feb 2025,221264,Gevo North Dakota,Net-Zero Richardton LLC,Geologically stored carbon,1000+ years,https://registry.puro.earth/projects/353054,353054,15,https://registry.puro.earth/issuances
27 Feb 2025,218,OBIO Rudshøgda,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/727586,727586,15,https://registry.puro.earth/issuances
27 Feb 2025,100,BioLesna Carrot River,BC Biocarbon LTD,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/392654,392654,15,https://registry.puro.earth/issuances
20 Feb 2025,138,Lurin,Inkan Negro SAC,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/316372,316372,15,https://registry.puro.earth/issuances
14 Feb 2025,155,"Explocom 1, Lupeni",Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/307998,307998,15,https://registry.puro.earth/issuances
07 Feb 2025,1913,"ReGenerate Livermore Falls, LLC","ReGenerate Livermore Falls, LLC","Biochar, 2022",100+ years,https://registry.puro.earth/projects/470748,470748,15,https://registry.puro.earth/issuances
07 Feb 2025,4256,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,16,https://registry.puro.earth/issuances
07 Feb 2025,3986,"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/292788,292788,16,https://registry.puro.earth/issuances
31 Jan 2025,355,Farm Gai Kaisa 159,Planboo Eco AB,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/226049,226049,16,https://registry.puro.earth/issuances
14 Jan 2025,2221,"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/292788,292788,16,https://registry.puro.earth/issuances
14 Jan 2025,3818,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,16,https://registry.puro.earth/issuances
10 Jan 2025,34,Carbofex Nokia 1,Carbofex Oy,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/507468,507468,16,https://registry.puro.earth/issuances
10 Jan 2025,2198,EUTHENIA ENERGY CENTER,Euthenia Energy Center S.L.,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/272454,272454,16,https://registry.puro.earth/issuances
